State,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANDAMAN & NICOBAR,,2023-24,0.17,27.98,71.85,0,29.14,70.86,0.17,11.26,88.58,0.17,2.32,97.52,0,4.3,95.7,90.56,9.44,0.83,99.17,99.83,0.17,80.13,19.87,92.88,7.12,99.83,0.17,99.83,0.17
ANDHRA PRADESH,,2023-24,3.74,23.8,72.47,49.52,32.59,17.89,63.76,27.5,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,94.55,5.45,74.68,25.32,89.47,10.53
ARUNACHAL PRADESH,,2023-24,28.82,54.69,16.5,20.65,70.81,8.54,22.32,66.02,11.65,47.93,37.15,14.92,0.09,38.54,61.37,90.32,9.68,69.41,30.59,92.19,7.81,80.96,19.04,95.96,4.04,76.24,23.76,70.65,29.35
ASSAM,,2023-24,24.9,75.04,0.06,83.21,16.7,0.1,6.32,70.91,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100,0,93.66,6.34,100,0,0,100,79.05,20.95
BIHAR,,2023-24,0.66,38.27,61.07,75.38,22.4,2.21,24.41,71.31,4.29,15.63,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,98.38,1.62,65.34,34.66,93.07,6.93
CHHATTISGARH,,2023-24,0.36,22.37,77.27,9.65,65.82,24.53,40.73,55.27,4,14.2,34.55,51.26,0.46,6.8,92.74,98.92,1.08,61.86,38.14,89.11,10.89,51.1,48.9,95.91,4.09,77.45,22.55,97.34,2.66
GOA,,2023-24,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98,2,76.54,23.46,98.33,1.67,59.85,40.15,94.68,5.32
GUJARAT,,2023-24,1.63,19.62,78.76,80.96,16.35,2.69,67.1,29.91,3,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,93.58,6.42,52.47,47.53,91.14,8.86
HARYANA,,2023-24,0.36,7.71,91.93,38.31,35.79,25.9,26.25,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,93.21,6.79,29.92,70.08,74.68,25.32
HIMACHAL PRADESH,,2023-24,1.07,46.78,52.15,26.75,60.92,12.32,35.97,49.92,14.1,73.54,18.82,7.64,0.06,1.07,98.88,99.87,0.13,92.61,7.39,95.39,4.61,94.84,5.16,99.23,0.77,99.24,0.76,86.77,13.23
JAMMU & KASHMIR,,2023-24,15.38,58.25,26.38,45.16,49.68,5.16,22.86,68.52,8.61,56.49,24.21,19.3,0.54,2.07,97.39,95.4,4.6,78.73,21.27,61.7,38.3,72.4,27.6,90.46,9.54,73.7,26.3,72.21,27.79
JHARKHAND,,2023-24,0.91,41.83,57.26,29.75,59.13,11.13,11.19,70,18.81,23.13,43.65,33.22,0.7,41.26,58.04,98.28,1.72,84.16,15.84,95.75,4.25,81.55,18.45,97.42,2.58,69.81,30.19,92.85,7.15
KARNATAKA,,2023-24,6.82,29.13,64.05,56.7,37.11,6.19,40.78,46.73,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,95.54,4.46,42.46,57.54,86.37,13.63
LADAKH,,2023-24,0,100,0,37.39,37.39,25.22,45.7,32.47,21.83,70.57,12.57,16.86,3.76,0,96.24,91.84,8.16,100,0,0,100,54.36,45.64,23.47,76.53,100,0,9.49,90.51
MADHYA PRADESH,,2023-24,0.75,28.92,70.33,24.2,64.03,11.76,42.4,52.83,4.77,32.34,41.9,25.76,0.36,1.51,98.13,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,92.68,7.32,73.15,26.85,92.14,7.86
MAHARASHTRA,,2023-24,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,96.1,3.9,54.56,45.44,88.72,11.28
MEGHALAYA,,2023-24,1.02,70.28,28.7,27.99,56.77,15.25,11.07,68.53,20.4,91.89,6.98,1.12,0.1,60.43,39.47,99.9,0.1,64.08,35.92,52.76,47.24,43.39,56.61,50.04,49.96,14.16,85.84,57.6,42.4
MIZORAM,,2023-24,1.06,41.44,57.5,10.1,63.27,26.63,4.76,43.76,51.48,61.79,9.85,28.36,0.21,49.5,50.29,5.48,94.52,0.79,99.21,0.99,99.01,99.8,0.2,100,0,99.6,0.4,0.4,99.6
NAGALAND,,2023-24,6.16,57.31,36.52,34.75,41.92,23.33,21.57,56.27,22.16,64.14,21.35,14.51,0.14,67.45,32.4,98.66,1.34,51.6,48.4,83.42,16.58,83.74,16.26,92.52,7.48,84.94,15.06,77.64,22.36
ODISHA,,2023-24,3.1,29.21,67.7,32.49,27.85,39.66,28.16,49.36,22.48,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,96.99,3.01,40.82,59.18,97.88,2.12
PUDUCHERRY,,2023-24,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0,0,91.67,8.33,95.24,4.76,99.07,0.93,0,0,97,3
PUNJAB,,2023-24,0.07,9.04,90.88,34.08,35.18,30.74,10.11,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,99.09,0.91,85.49,14.51,48.34,51.66
RAJASTHAN,,2023-24,0.06,0.24,99.7,69.12,27.77,3.1,50.65,47.23,2.12,3.72,13.57,82.71,13.64,0.07,86.29,94.33,5.67,92.27,7.73,49.78,50.22,44.9,55.1,96.23,3.77,70.21,29.79,92.51,7.49
SIKKIM,,2023-24,3.77,60.68,35.56,62.1,32.63,5.27,32.27,55.17,12.56,42.25,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,92.41,7.59,60.36,39.64,81.3,18.7
TAMIL NADU,,2023-24,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,97.16,2.84,56.01,43.99,74.11,25.89
TRIPURA,,2023-24,0.11,38.94,60.95,27.96,71.04,1.01,2.28,88.34,9.38,34.82,33.73,31.45,0.03,73.2,26.76,99.8,0.2,94.93,5.07,99.86,0.14,49.53,50.47,95.47,4.53,91.11,8.89,99.39,0.61
UTTAR PRADESH,,2023-24,0.12,1.53,98.35,15.19,63.87,20.94,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,95.81,4.19,65.67,34.33,87.48,12.52
UTTARAKHAND,,2023-24,1.41,1.41,97.18,34.25,47.68,18.07,30.06,46.91,23.02,52.69,26,21.31,0.13,1.13,98.74,79.57,20.43,79.11,20.89,91.49,8.51,90.33,9.67,96.31,3.69,77.68,22.32,89.39,10.61
WEST BENGAL,,2023-24,4.69,63.5,31.8,70.39,21.87,7.74,29.76,54.72,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,97.19,2.81,39.77,60.23,87.86,12.14